Termperature deg C,Pressure PSIA,Density kg/m^3,Enthalpy (kJ/kg),Cv (heat capacity at constant volume) kJ/(kg*K),Cp (heat capacity at constant pressure) kJ/(kg*K)
0,20,2.4286,141.81,0.31253,0.5224
50,20,2.0514,167.91,0.31241,0.5217
100,20,1.7758,193.98,0.31234,0.52131
150,20,1.5656,220.04,0.31231,0.52106
200,20,1.4,246.09,0.31228,0.52089
250,20,1.2661,272.13,0.31227,0.52078
300,20,1.1556,298.17,0.31226,0.52069
350,20,1.0628,324.2,0.31225,0.52063
400,20,0.98388,350.23,0.31224,0.52058
450,20,0.91585,376.26,0.31224,0.52054
500,20,0.85662,402.29,0.31223,0.52051
550,20,0.80459,428.31,0.31223,0.52049
600,20,0.75852,454.34,0.31223,0.52047
650,20,0.71744,480.36,0.31223,0.52045
700,20,0.68058,506.38,0.31222,0.52044
750,20,0.64733,532.4,0.31222,0.52043
800,20,0.61717,558.42,0.31222,0.52042
,,,,,
0,50,6.0833,141.34,0.31302,0.52552
50,50,5.1327,167.57,0.31272,0.52376
100,50,4.4406,193.73,0.31256,0.52277
150,50,3.9137,219.85,0.31247,0.52214
200,50,3.499,245.95,0.31241,0.52173
250,50,3.164,272.03,0.31237,0.52144
300,50,2.8876,298.1,0.31234,0.52123
350,50,2.6557,324.15,0.31232,0.52107
400,50,2.4584,350.2,0.31231,0.52095
450,50,2.2884,376.25,0.3123,0.52086
500,50,2.1404,402.29,0.31229,0.52078
550,50,2.0104,428.33,0.31228,0.52072
600,50,1.8953,454.36,0.31227,0.52067
650,50,1.7927,480.39,0.31227,0.52063
700,50,1.7006,506.43,0.31226,0.5206
750,50,1.6175,532.45,0.31226,0.52057
800,50,1.5422,558.48,0.31225,0.52054
,,,,,
0,100,12.205,140.57,0.31384,0.53077
50,100,10.279,167.01,0.31323,0.52721
100,100,8.8847,193.32,0.31292,0.5252
150,100,7.8262,219.54,0.31273,0.52395
200,100,6.9947,245.72,0.31262,0.52312
250,100,6.3237,271.86,0.31254,0.52254
300,100,5.7707,297.97,0.31249,0.52212
350,100,5.3069,324.07,0.31245,0.52181
400,100,4.9124,350.16,0.31241,0.52157
450,100,4.5726,376.23,0.31239,0.52138
500,100,4.2769,402.3,0.31237,0.52123
550,100,4.0171,428.35,0.31235,0.52111
600,100,3.7872,454.41,0.31234,0.52101
650,100,3.5822,480.46,0.31233,0.52093
700,100,3.3982,506.5,0.31232,0.52086
750,100,3.2323,532.54,0.31231,0.5208
800,100,3.0818,558.58,0.3123,0.52075
,,,,,
0,150,18.366,139.8,0.31466,0.53609
50,150,15.44,166.45,0.31374,0.53068
100,150,13.332,192.9,0.31327,0.52764
150,150,11.737,219.23,0.313,0.52575
200,150,10.487,245.49,0.31283,0.5245
250,150,9.479,271.69,0.31271,0.52364
300,150,8.6491,297.86,0.31263,0.52301
350,150,7.9536,323.99,0.31257,0.52254
400,150,7.362,350.11,0.31252,0.52218
450,150,6.8527,376.21,0.31249,0.5219
500,150,6.4095,402.3,0.31246,0.52168
550,150,6.0203,428.38,0.31243,0.5215
600,150,5.6757,454.45,0.31241,0.52135
650,150,5.3686,480.52,0.3124,0.52122
700,150,5.093,506.57,0.31238,0.52112
750,150,4.8444,532.63,0.31237,0.52103
800,150,4.619,558.68,0.31236,0.52096
,,,,,
0,200,24.565,139.02,0.31547,0.54149
50,200,20.613,165.89,0.31425,0.53416
100,200,17.782,192.49,0.31363,0.53007
150,200,15.647,218.93,0.31326,0.52755
200,200,13.975,245.26,0.31304,0.52588
250,200,12.63,271.52,0.31288,0.52473
300,200,11.523,297.74,0.31277,0.52389
350,200,10.596,323.92,0.31269,0.52327
400,200,9.8072,350.07,0.31263,0.52279
450,200,9.1286,376.2,0.31258,0.52242
500,200,8.5382,402.31,0.31254,0.52212
550,200,8.0198,428.41,0.31251,0.52188
600,200,7.5609,454.5,0.31248,0.52168
650,200,7.1518,480.58,0.31246,0.52152
700,200,6.7849,506.65,0.31244,0.52138
750,200,6.4538,532.72,0.31242,0.52127
800,200,6.1536,558.78,0.31241,0.52117
